customer_id,wilaya,subscription,tenure_months,monthly_spend_dzd,data_usage_gb,calls_count,complaints,recharge_frequency,usage_drop_pct,churn
C10001,Biskra,Prepaid,6,1559.45,0.5,64,2,5,3.4,1
C10002,Oran,Prepaid,1,1875.18,4.84,54,0,2,51.6,1
C10003,Algiers,Prepaid,72,1597.12,0.94,56,3,1,22.3,1
C10004,Tiaret,Prepaid,16,871.14,15.21,56,0,3,84.5,0
C10005,Setif,Prepaid,27,1485.68,4.43,13,1,2,23.6,0
C10006,Annaba,Prepaid,25,1843.87,27.84,41,0,2,3.0,0
C10007,Annaba,Prepaid,35,950.9,1.78,70,1,3,52.4,1
C10008,Constantine,Prepaid,1,1810.95,9.95,70,1,1,51.9,1
C10009,Tiaret,Prepaid,14,1186.57,22.79,55,0,4,17.4,0
C10010,Oran,Postpaid,13,3037.53,23.85,15,1,1,-20.0,0
C10011,Biskra,Prepaid,12,998.86,17.0,3,0,3,14.5,0
C10012,Tiaret,Prepaid,17,2631.62,3.83,42,0,4,23.5,0
C10013,Tizi Ouzou,Prepaid,35,1775.97,14.01,78,0,2,-7.0,0
C10014,Chlef,Postpaid,7,2231.91,0.5,67,0,1,31.2,0
C10015,Oran,Prepaid,7,2174.97,1.69,28,2,2,41.1,1
C10016,Bejaia,Prepaid,3,1492.32,6.01,74,2,1,30.4,1
C10017,Tlemcen,Prepaid,20,1042.82,16.48,21,1,3,-9.4,0
C10018,Algiers,Prepaid,28,2034.19,1.38,89,0,4,-7.2,0
C10019,Algiers,Postpaid,30,2444.26,12.04,79,0,1,30.6,0
C10020,Oran,Prepaid,17,1331.36,0.5,63,1,3,3.7,0
C10021,Annaba,Prepaid,11,1828.2,16.67,50,0,4,20.8,0
C10022,Annaba,Postpaid,17,1857.07,16.97,71,0,1,37.6,0
C10023,Chlef,Postpaid,23,5104.28,22.24,69,1,1,-4.3,0
C10024,Bejaia,Prepaid,16,1132.67,0.5,12,0,4,3.2,0
C10025,Algiers,Prepaid,44,1464.28,0.74,52,0,2,68.6,1
C10026,Chlef,Prepaid,16,1621.04,8.09,66,0,2,27.6,0
C10027,Annaba,Prepaid,13,1241.08,15.11,56,0,5,68.1,0
C10028,Tiaret,Prepaid,9,760.04,9.0,65,0,4,-20.0,0
C10029,Biskra,Prepaid,2,749.9,6.57,50,0,2,44.1,1
C10030,Tiaret,Prepaid,14,1430.45,6.88,62,1,3,32.2,0
C10031,Chlef,Prepaid,20,1088.65,0.5,37,1,4,23.9,0
C10032,Tlemcen,Prepaid,21,1690.66,19.44,35,2,2,46.9,1
