cell_id,wilaya,band,users,latency_ms,packet_loss_pct,traffic_mbps,availability_pct,is_anomaly
DZ-CELL-1000,Biskra,B3 (1800 MHz LTE),717,37.7,0.51,538.28,99.87,0
DZ-CELL-1001,Algiers,B20 (800 MHz LTE),1167,18.72,1.19,366.41,99.64,0
DZ-CELL-1002,Annaba,B7 (2600 MHz LTE),887,32.67,0.09,489.52,99.83,0
DZ-CELL-1003,Constantine,B3 (1800 MHz LTE),815,31.1,0.71,492.51,99.95,0
DZ-CELL-1004,Biskra,B3 (1800 MHz LTE),779,29.61,0.76,511.88,99.91,0
DZ-CELL-1005,Bejaia,n78 (3.5 GHz 5G),1306,29.97,0.76,584.24,99.88,0
DZ-CELL-1006,Algiers,B3 (1800 MHz LTE),701,15.27,0.16,482.03,99.95,0
DZ-CELL-1007,Oran,B7 (2600 MHz LTE),1218,30.21,0.35,570.54,99.53,0
DZ-CELL-1008,Annaba,B3 (1800 MHz LTE),655,34.15,1.26,317.36,99.97,0
DZ-CELL-1009,Chlef,B7 (2600 MHz LTE),1101,35.82,0.34,617.21,99.55,0
DZ-CELL-1010,Tiaret,n78 (3.5 GHz 5G),742,35.03,0.17,571.34,99.99,0
DZ-CELL-1011,Annaba,n78 (3.5 GHz 5G),661,43.32,0.94,524.22,99.92,0
DZ-CELL-1012,Bejaia,B20 (800 MHz LTE),1133,28.67,0.07,563.27,99.75,0
DZ-CELL-1013,Ouargla,B3 (1800 MHz LTE),647,42.39,0.35,590.95,99.94,0
DZ-CELL-1014,Ouargla,B7 (2600 MHz LTE),617,28.15,1.08,284.34,99.88,0
DZ-CELL-1015,Tiaret,n78 (3.5 GHz 5G),1179,33.35,0.43,770.79,100.0,0
DZ-CELL-1016,Blida,B20 (800 MHz LTE),1242,36.43,1.15,393.05,99.83,0
DZ-CELL-1017,Constantine,B7 (2600 MHz LTE),953,21.94,0.6,687.55,99.46,0
DZ-CELL-1018,Ouargla,B20 (800 MHz LTE),830,37.86,0.05,486.13,99.82,0
DZ-CELL-1019,Oran,B3 (1800 MHz LTE),1090,27.59,0.18,465.33,99.68,0
DZ-CELL-1020,Tlemcen,B3 (1800 MHz LTE),1037,14.59,1.14,338.1,99.73,0
DZ-CELL-1021,Blida,B20 (800 MHz LTE),565,20.73,0.27,451.32,99.97,0
DZ-CELL-1022,Bejaia,B20 (800 MHz LTE),848,22.11,0.24,454.6,99.83,0
DZ-CELL-1023,Ouargla,B3 (1800 MHz LTE),1003,24.37,1.45,536.83,99.97,0
DZ-CELL-1024,Tiaret,n78 (3.5 GHz 5G),674,30.77,1.45,763.07,99.99,0
DZ-CELL-1025,Chlef,B3 (1800 MHz LTE),863,26.13,1.03,554.17,99.95,0
DZ-CELL-1026,Tizi Ouzou,n78 (3.5 GHz 5G),1415,23.7,0.05,451.95,99.85,0
DZ-CELL-1027,Oran,B20 (800 MHz LTE),1180,16.41,0.37,343.53,99.97,0
DZ-CELL-1028,Ghardaia,B20 (800 MHz LTE),913,30.09,1.31,325.17,99.79,0
DZ-CELL-1029,Bejaia,B7 (2600 MHz LTE),678,29.29,0.08,472.35,99.75,0
DZ-CELL-1030,Tiaret,B3 (1800 MHz LTE),830,32.22,0.11,559.38,100.0,0
DZ-CELL-1031,Algiers,B7 (2600 MHz LTE),601,32.74,0.09,465.66,99.79,0
DZ-CELL-1032,Ouargla,B20 (800 MHz LTE),772,30.28,0.13,558.21,99.65,0
DZ-CELL-1033,Oran,B7 (2600 MHz LTE),947,44.35,0.1,369.22,99.93,0
DZ-CELL-1034,Ghardaia,B3 (1800 MHz LTE),482,45.24,1.0,422.5,99.94,0
DZ-CELL-1035,Tlemcen,B20 (800 MHz LTE),1080,41.87,0.14,287.16,99.8,0
DZ-CELL-1036,Batna,B20 (800 MHz LTE),1124,15.73,0.26,503.21,99.71,0
DZ-CELL-1037,Constantine,B20 (800 MHz LTE),828,39.29,0.72,476.59,99.89,0
DZ-CELL-1038,Blida,B7 (2600 MHz LTE),1324,37.04,0.13,498.8,99.17,0
DZ-CELL-1039,Biskra,B20 (800 MHz LTE),809,22.34,0.14,491.09,100.0,0
DZ-CELL-1040,Tiaret,B3 (1800 MHz LTE),491,36.14,0.36,593.21,99.95,0
DZ-CELL-1041,Bejaia,B7 (2600 MHz LTE),953,44.15,0.49,652.75,99.96,0
DZ-CELL-1042,Chlef,B7 (2600 MHz LTE),815,38.05,0.22,411.27,99.96,0
DZ-CELL-1043,Constantine,n78 (3.5 GHz 5G),855,29.39,0.42,501.84,99.94,0
DZ-CELL-1044,Tlemcen,B20 (800 MHz LTE),514,26.01,0.2,372.65,99.83,0
DZ-CELL-1045,Tizi Ouzou,B7 (2600 MHz LTE),1081,47.61,1.24,446.5,99.74,0
DZ-CELL-1046,Biskra,B20 (800 MHz LTE),983,20.61,0.05,761.61,99.92,0
DZ-CELL-1047,Ghardaia,B3 (1800 MHz LTE),828,29.36,0.05,506.68,99.74,0
DZ-CELL-1048,Annaba,B3 (1800 MHz LTE),1284,31.65,0.26,557.85,99.68,0
DZ-CELL-1049,Ouargla,B20 (800 MHz LTE),726,23.84,0.4,582.24,99.91,0
DZ-CELL-1050,Tlemcen,B20 (800 MHz LTE),559,30.3,0.35,521.82,99.67,0
DZ-CELL-1051,Oran,B7 (2600 MHz LTE),984,41.65,0.85,596.84,99.94,0
DZ-CELL-1052,Tizi Ouzou,B20 (800 MHz LTE),514,31.57,1.45,527.26,99.96,0
DZ-CELL-1053,Annaba,n78 (3.5 GHz 5G),895,38.14,0.05,494.72,99.76,0
DZ-CELL-1054,Tlemcen,n78 (3.5 GHz 5G),948,30.4,1.45,475.65,99.6,0
DZ-CELL-1055,Constantine,B20 (800 MHz LTE),999,28.51,0.79,577.52,99.99,0
DZ-CELL-1056,Constantine,B7 (2600 MHz LTE),540,35.76,0.06,504.43,99.92,0
DZ-CELL-1057,Tiaret,B20 (800 MHz LTE),744,30.04,0.17,494.85,99.84,0
DZ-CELL-1058,Tiaret,n78 (3.5 GHz 5G),706,39.83,0.44,509.38,99.95,0
DZ-CELL-1059,Tizi Ouzou,n78 (3.5 GHz 5G),1045,37.35,0.72,485.17,98.76,0
DZ-CELL-1060,Blida,B7 (2600 MHz LTE),1119,26.87,0.23,732.88,99.59,0
DZ-CELL-1061,Constantine,n78 (3.5 GHz 5G),770,19.39,0.6,286.55,99.95,0
DZ-CELL-1062,Oran,B3 (1800 MHz LTE),783,25.96,0.15,369.54,99.99,0
DZ-CELL-1063,Ghardaia,B3 (1800 MHz LTE),681,17.5,0.51,347.19,99.95,0
DZ-CELL-1064,Constantine,B7 (2600 MHz LTE),813,25.81,0.95,474.56,99.81,0
DZ-CELL-1065,Ouargla,n78 (3.5 GHz 5G),998,40.75,0.32,658.32,99.95,0
DZ-CELL-1066,Bejaia,B3 (1800 MHz LTE),736,27.51,0.09,409.89,99.99,0
DZ-CELL-1067,Tlemcen,n78 (3.5 GHz 5G),1111,29.2,0.64,350.91,99.76,0
DZ-CELL-1068,Bejaia,n78 (3.5 GHz 5G),925,29.18,0.11,502.32,99.82,0
DZ-CELL-1069,Chlef,B20 (800 MHz LTE),516,25.7,0.94,498.12,99.94,0
DZ-CELL-1070,Chlef,B3 (1800 MHz LTE),969,40.13,0.36,460.54,99.91,0
DZ-CELL-1071,Biskra,B3 (1800 MHz LTE),674,38.63,0.31,375.42,99.98,0
DZ-CELL-1072,Biskra,B20 (800 MHz LTE),1002,24.04,0.05,478.19,99.87,0
DZ-CELL-1073,Ouargla,B20 (800 MHz LTE),1111,41.04,0.19,517.74,99.77,0
DZ-CELL-1074,Oran,B20 (800 MHz LTE),489,35.47,0.95,544.97,99.62,0
DZ-CELL-1075,Tlemcen,B7 (2600 MHz LTE),1093,35.04,0.82,558.65,99.76,0
DZ-CELL-1076,Batna,B3 (1800 MHz LTE),441,123.29,4.33,141.63,93.39,1
DZ-CELL-1077,Chlef,B7 (2600 MHz LTE),666,26.83,0.77,534.45,99.64,0
DZ-CELL-1078,Chlef,B3 (1800 MHz LTE),800,32.03,0.15,501.02,99.8,0
DZ-CELL-1079,Ghardaia,B20 (800 MHz LTE),860,37.65,0.35,331.47,99.7,0
DZ-CELL-1080,Ghardaia,B7 (2600 MHz LTE),908,28.99,0.35,469.52,99.8,0
DZ-CELL-1081,Constantine,B20 (800 MHz LTE),911,33.32,0.05,524.94,99.93,0
DZ-CELL-1082,Ouargla,B7 (2600 MHz LTE),770,33.31,0.39,611.46,99.99,0
DZ-CELL-1083,Chlef,B3 (1800 MHz LTE),514,34.75,0.05,422.16,100.0,0
DZ-CELL-1084,Bejaia,B20 (800 MHz LTE),821,16.74,0.66,418.93,99.94,0
DZ-CELL-1085,Batna,B3 (1800 MHz LTE),1263,22.78,0.71,460.45,99.76,0
DZ-CELL-1086,Oran,B20 (800 MHz LTE),1096,41.83,0.14,551.52,99.89,0
DZ-CELL-1087,Tizi Ouzou,B20 (800 MHz LTE),828,22.8,0.14,662.62,99.17,0
DZ-CELL-1088,Annaba,B3 (1800 MHz LTE),1047,30.45,0.12,342.33,99.6,0
DZ-CELL-1089,Annaba,B3 (1800 MHz LTE),1167,35.79,0.09,476.82,99.59,0
DZ-CELL-1090,Oran,n78 (3.5 GHz 5G),1005,37.42,0.84,550.7,99.97,0
DZ-CELL-1091,Ghardaia,B3 (1800 MHz LTE),1142,41.37,0.3,534.05,99.98,0
DZ-CELL-1092,Ouargla,B7 (2600 MHz LTE),932,26.32,0.25,475.58,99.99,0
DZ-CELL-1093,Constantine,n78 (3.5 GHz 5G),535,20.06,0.72,542.12,99.93,0
DZ-CELL-1094,Chlef,B7 (2600 MHz LTE),789,31.81,0.05,430.25,99.82,0
DZ-CELL-1095,Setif,n78 (3.5 GHz 5G),316,39.68,0.89,359.7,99.7,0
DZ-CELL-1096,Annaba,B7 (2600 MHz LTE),844,27.72,0.05,479.6,99.81,0
DZ-CELL-1097,Tiaret,B20 (800 MHz LTE),595,35.94,0.05,675.98,99.92,0
DZ-CELL-1098,Tlemcen,B20 (800 MHz LTE),657,32.28,0.19,369.82,99.83,0
DZ-CELL-1099,Batna,n78 (3.5 GHz 5G),788,39.42,0.1,548.56,99.96,0
DZ-CELL-1100,Oran,B7 (2600 MHz LTE),910,26.01,0.55,486.56,99.75,0
DZ-CELL-1101,Annaba,B3 (1800 MHz LTE),242,94.83,6.73,93.92,96.6,1
DZ-CELL-1102,Algiers,B7 (2600 MHz LTE),875,39.13,0.76,708.28,99.85,0
DZ-CELL-1103,Bejaia,B7 (2600 MHz LTE),698,29.23,0.05,502.5,99.94,0
DZ-CELL-1104,Algiers,B3 (1800 MHz LTE),623,28.03,0.7,477.32,99.84,0
DZ-CELL-1105,Tiaret,B3 (1800 MHz LTE),1321,25.0,1.45,562.87,99.26,0
DZ-CELL-1106,Annaba,B3 (1800 MHz LTE),601,36.23,0.51,451.69,99.59,0
DZ-CELL-1107,Tizi Ouzou,B3 (1800 MHz LTE),482,39.0,0.25,576.05,99.92,0
DZ-CELL-1108,Ghardaia,B20 (800 MHz LTE),506,47.01,0.58,598.65,99.54,0
DZ-CELL-1109,Oran,B7 (2600 MHz LTE),841,19.75,0.4,417.0,99.51,0
DZ-CELL-1110,Setif,n78 (3.5 GHz 5G),967,22.6,0.45,411.19,99.75,0
DZ-CELL-1111,Annaba,B7 (2600 MHz LTE),937,34.43,0.31,447.94,99.94,0
DZ-CELL-1112,Tiaret,n78 (3.5 GHz 5G),815,39.97,0.33,606.36,99.96,0
DZ-CELL-1113,Annaba,n78 (3.5 GHz 5G),467,34.81,0.13,470.45,99.79,0
DZ-CELL-1114,Ouargla,n78 (3.5 GHz 5G),1093,26.69,0.06,474.84,99.95,0
DZ-CELL-1115,Annaba,B3 (1800 MHz LTE),954,16.29,0.79,507.96,99.89,0
DZ-CELL-1116,Oran,n78 (3.5 GHz 5G),992,21.56,0.55,441.65,99.99,0
DZ-CELL-1117,Blida,n78 (3.5 GHz 5G),773,38.35,0.29,614.48,99.63,0
DZ-CELL-1118,Tlemcen,n78 (3.5 GHz 5G),929,41.74,0.91,451.51,99.94,0
DZ-CELL-1119,Ghardaia,B3 (1800 MHz LTE),806,32.36,1.24,404.37,99.99,0
DZ-CELL-1120,Biskra,B3 (1800 MHz LTE),821,24.24,1.22,488.65,99.99,0
DZ-CELL-1121,Algiers,n78 (3.5 GHz 5G),410,33.05,0.91,529.78,99.88,0
DZ-CELL-1122,Tiaret,B20 (800 MHz LTE),387,52.0,0.49,601.9,99.95,0
DZ-CELL-1123,Ouargla,B3 (1800 MHz LTE),621,34.07,0.26,408.42,99.59,0
DZ-CELL-1124,Annaba,B7 (2600 MHz LTE),970,25.12,0.82,496.55,99.86,0
DZ-CELL-1125,Annaba,n78 (3.5 GHz 5G),930,39.22,0.38,513.84,99.99,0
DZ-CELL-1126,Constantine,n78 (3.5 GHz 5G),893,35.37,0.51,550.26,99.9,0
DZ-CELL-1127,Constantine,B20 (800 MHz LTE),598,26.21,0.48,512.63,98.51,0
DZ-CELL-1128,Batna,B7 (2600 MHz LTE),1071,30.11,0.69,657.51,99.58,0
DZ-CELL-1129,Ghardaia,B3 (1800 MHz LTE),949,19.36,0.5,377.29,99.67,0
DZ-CELL-1130,Batna,B3 (1800 MHz LTE),1008,36.77,0.26,463.49,99.84,0
DZ-CELL-1131,Algiers,B3 (1800 MHz LTE),877,22.41,0.54,299.19,99.9,0
DZ-CELL-1132,Oran,B7 (2600 MHz LTE),508,29.72,0.21,660.62,99.81,0
DZ-CELL-1133,Constantine,n78 (3.5 GHz 5G),1072,15.13,0.9,404.87,99.85,0
DZ-CELL-1134,Batna,n78 (3.5 GHz 5G),750,31.85,0.19,327.15,99.83,0
DZ-CELL-1135,Annaba,n78 (3.5 GHz 5G),488,49.46,0.65,559.77,99.66,0
DZ-CELL-1136,Tizi Ouzou,B3 (1800 MHz LTE),869,102.84,3.97,273.18,97.76,1
DZ-CELL-1137,Tlemcen,B3 (1800 MHz LTE),640,25.47,0.17,371.73,99.68,0
DZ-CELL-1138,Tlemcen,B20 (800 MHz LTE),429,34.98,0.42,371.14,99.89,0
DZ-CELL-1139,Tizi Ouzou,n78 (3.5 GHz 5G),432,81.64,5.21,76.39,95.41,1
DZ-CELL-1140,Tlemcen,n78 (3.5 GHz 5G),1256,33.67,0.05,304.77,99.34,0
DZ-CELL-1141,Constantine,B7 (2600 MHz LTE),946,42.48,0.36,471.73,99.99,0
DZ-CELL-1142,Setif,B7 (2600 MHz LTE),953,33.04,0.41,485.37,99.95,0
DZ-CELL-1143,Algiers,B3 (1800 MHz LTE),858,35.75,0.24,337.4,99.63,0
DZ-CELL-1144,Tiaret,B20 (800 MHz LTE),789,37.64,0.12,400.98,99.65,0
DZ-CELL-1145,Algiers,B3 (1800 MHz LTE),1046,45.65,0.05,388.9,99.8,0
DZ-CELL-1146,Bejaia,n78 (3.5 GHz 5G),1338,22.72,0.08,549.72,99.95,0
DZ-CELL-1147,Chlef,B7 (2600 MHz LTE),941,41.18,0.36,658.57,99.95,0
DZ-CELL-1148,Algiers,B3 (1800 MHz LTE),1171,19.36,0.31,391.6,99.89,0
DZ-CELL-1149,Ghardaia,B7 (2600 MHz LTE),1210,39.32,1.45,601.45,99.97,0
DZ-CELL-1150,Oran,B3 (1800 MHz LTE),916,27.99,0.39,438.3,99.98,0
DZ-CELL-1151,Biskra,B7 (2600 MHz LTE),805,23.74,0.2,401.76,99.99,0
DZ-CELL-1152,Tlemcen,B3 (1800 MHz LTE),683,32.25,0.73,505.72,99.58,0
DZ-CELL-1153,Tizi Ouzou,B7 (2600 MHz LTE),507,35.47,0.18,712.96,99.92,0
DZ-CELL-1154,Bejaia,B3 (1800 MHz LTE),1002,46.6,0.59,402.45,99.83,0
DZ-CELL-1155,Bejaia,B3 (1800 MHz LTE),837,24.57,0.35,549.24,99.98,0
DZ-CELL-1156,Tlemcen,B20 (800 MHz LTE),1198,29.7,0.19,600.04,99.48,0
DZ-CELL-1157,Tizi Ouzou,B20 (800 MHz LTE),984,28.0,0.07,325.21,99.02,0
DZ-CELL-1158,Annaba,B20 (800 MHz LTE),866,37.85,0.83,735.13,99.98,0
DZ-CELL-1159,Annaba,B20 (800 MHz LTE),936,28.04,0.79,519.78,99.7,0
DZ-CELL-1160,Tlemcen,B7 (2600 MHz LTE),614,25.33,0.2,278.02,99.9,0
DZ-CELL-1161,Biskra,B20 (800 MHz LTE),961,48.17,0.33,355.54,99.5,0
DZ-CELL-1162,Batna,B20 (800 MHz LTE),905,31.99,0.86,489.0,99.9,0
DZ-CELL-1163,Tizi Ouzou,B3 (1800 MHz LTE),828,36.26,0.16,545.96,99.98,0
DZ-CELL-1164,Algiers,n78 (3.5 GHz 5G),588,29.35,0.53,483.1,99.8,0
DZ-CELL-1165,Bejaia,B3 (1800 MHz LTE),847,30.31,0.89,501.73,99.49,0
DZ-CELL-1166,Oran,B7 (2600 MHz LTE),1392,29.75,0.65,481.14,99.9,0
DZ-CELL-1167,Chlef,B20 (800 MHz LTE),561,29.21,0.05,370.85,99.99,0
DZ-CELL-1168,Constantine,B20 (800 MHz LTE),961,32.4,0.25,487.09,99.88,0
DZ-CELL-1169,Tizi Ouzou,B3 (1800 MHz LTE),415,34.12,0.11,392.74,99.81,0
DZ-CELL-1170,Tizi Ouzou,B7 (2600 MHz LTE),637,35.13,0.05,456.52,99.99,0
DZ-CELL-1171,Blida,B20 (800 MHz LTE),1177,27.77,0.06,434.8,99.93,0
DZ-CELL-1172,Constantine,n78 (3.5 GHz 5G),916,27.29,0.05,497.66,99.66,0
DZ-CELL-1173,Ghardaia,B20 (800 MHz LTE),850,20.49,0.44,580.37,99.85,0
DZ-CELL-1174,Bejaia,B3 (1800 MHz LTE),194,79.78,5.27,164.52,93.08,1
DZ-CELL-1175,Tizi Ouzou,B3 (1800 MHz LTE),592,41.06,0.6,445.17,99.71,0
DZ-CELL-1176,Tizi Ouzou,B7 (2600 MHz LTE),843,30.69,0.3,419.91,99.85,0
DZ-CELL-1177,Setif,B3 (1800 MHz LTE),936,24.54,0.36,476.6,99.88,0
DZ-CELL-1178,Tizi Ouzou,B3 (1800 MHz LTE),587,31.7,0.18,460.98,99.91,0
DZ-CELL-1179,Tiaret,B7 (2600 MHz LTE),1226,25.44,0.69,229.6,99.55,0
DZ-CELL-1180,Setif,B20 (800 MHz LTE),1101,23.59,0.26,554.57,99.99,0
DZ-CELL-1181,Bejaia,B7 (2600 MHz LTE),742,31.34,0.46,581.35,99.78,0
DZ-CELL-1182,Tiaret,B20 (800 MHz LTE),910,38.0,0.43,483.52,99.97,0
DZ-CELL-1183,Annaba,B20 (800 MHz LTE),684,32.66,0.51,669.43,99.99,0
DZ-CELL-1184,Chlef,n78 (3.5 GHz 5G),902,28.59,0.05,331.82,99.91,0
DZ-CELL-1185,Setif,B3 (1800 MHz LTE),636,37.1,0.09,607.36,99.96,0
DZ-CELL-1186,Oran,n78 (3.5 GHz 5G),912,26.69,0.65,589.57,99.8,0
DZ-CELL-1187,Ghardaia,B20 (800 MHz LTE),683,22.61,0.06,424.73,99.81,0
DZ-CELL-1188,Algiers,B3 (1800 MHz LTE),991,41.18,0.34,409.21,99.22,0
DZ-CELL-1189,Blida,B7 (2600 MHz LTE),1054,42.92,0.62,677.92,99.67,0
DZ-CELL-1190,Biskra,B20 (800 MHz LTE),662,34.69,0.19,365.07,99.88,0
DZ-CELL-1191,Constantine,n78 (3.5 GHz 5G),417,36.35,0.12,496.25,99.97,0
DZ-CELL-1192,Chlef,n78 (3.5 GHz 5G),896,30.77,0.47,574.65,99.6,0
DZ-CELL-1193,Chlef,B3 (1800 MHz LTE),721,38.28,0.28,390.5,99.63,0
DZ-CELL-1194,Oran,B3 (1800 MHz LTE),1045,37.51,0.48,499.91,99.16,0
DZ-CELL-1195,Tizi Ouzou,B7 (2600 MHz LTE),564,31.29,0.58,470.55,99.66,0
DZ-CELL-1196,Chlef,B3 (1800 MHz LTE),856,20.81,0.83,513.97,99.82,0
DZ-CELL-1197,Ghardaia,B20 (800 MHz LTE),1224,17.76,0.37,488.63,99.77,0
DZ-CELL-1198,Bejaia,B7 (2600 MHz LTE),922,38.75,0.64,464.77,100.0,0
DZ-CELL-1199,Tlemcen,B7 (2600 MHz LTE),580,38.21,1.45,378.06,99.98,0
DZ-CELL-1200,Algiers,B20 (800 MHz LTE),1133,28.83,0.1,663.69,99.81,0
DZ-CELL-1201,Blida,B3 (1800 MHz LTE),936,28.14,0.69,357.88,99.84,0
DZ-CELL-1202,Tizi Ouzou,B20 (800 MHz LTE),531,23.7,0.07,559.46,98.88,0
DZ-CELL-1203,Annaba,B7 (2600 MHz LTE),767,25.87,0.58,249.65,99.57,0
DZ-CELL-1204,Biskra,B3 (1800 MHz LTE),476,42.93,0.24,312.18,99.68,0
DZ-CELL-1205,Blida,n78 (3.5 GHz 5G),1127,33.36,0.3,388.07,99.79,0
DZ-CELL-1206,Bejaia,B7 (2600 MHz LTE),877,26.84,0.37,706.77,99.77,0
DZ-CELL-1207,Tizi Ouzou,B7 (2600 MHz LTE),1115,27.31,0.78,571.06,99.86,0
DZ-CELL-1208,Ghardaia,B7 (2600 MHz LTE),1095,27.13,0.55,489.72,99.88,0
DZ-CELL-1209,Ouargla,B7 (2600 MHz LTE),1175,28.76,0.26,382.54,99.98,0
DZ-CELL-1210,Tizi Ouzou,n78 (3.5 GHz 5G),1836,55.0,2.75,956.14,99.5,1
DZ-CELL-1211,Constantine,B20 (800 MHz LTE),613,29.38,0.24,508.78,99.63,0
